facility_id,lga_name,facility_name,sport_lat,sport_lon,sport_played
DAREBI11798,Darebin City Council,Athletique Health Club Preston,-37.754375,145.020615,Aerobics
DAREBI11814,Darebin City Council,Fernwood Women's Health Club Preston,-37.750068,145.029881,Aerobics
DAREBI11817,Darebin City Council,Genesis Fitness Club Preston,-37.74697,145.0205,Aerobics
DAREBI11835,Darebin City Council,Northcote Aquatic & Recreation Centre,-37.769021,145.012581,Aerobics
DAREBI11842,Darebin City Council,Reservoir Leisure Centre,-37.716632,145.018316,Aerobics
DAREBI11847,Darebin City Council,The Fitness Club,-37.695615,145.012,Aerobics
HUMECI11740,Hume City Council,Contours Express Sunbury,-37.57904,144.73463,Aerobics
HUMECI11741,Hume City Council,Contours Greenvale,-37.639,144.8815,Aerobics
HUMECI11745,Hume City Council,CrossFit Merciless,-37.710479,144.855296,Aerobics
HUMECI11746,Hume City Council,Curves Gladstone Park,-37.689,144.8845,Aerobics
HUMECI11750,Hume City Council,Fernwood Women's Health Club Tullamarine,-37.701936,144.883313,Aerobics
HUMECI11752,Hume City Council,Focus Health and Fitness,-37.7005,144.885,Aerobics
HUMECI11772,Hume City Council,Life Fitness Centre,-37.642,144.9465,Aerobics
HUMECI11776,Hume City Council,OnTarget Fitness,-37.566,144.724,Aerobics
HUMECI11777,Hume City Council,Powercore Fitness,-37.616648,144.948157,Aerobics
HUMECI11779,Hume City Council,Re-creation Health Club Sunbury,-37.582902,144.724,Aerobics
HUMECI11739,Hume City Council,Unique Female Fitness,-37.601,144.943,Aerobics
KNOXCI8544,Knox City Council,Beach House Health & Fitness Boronia,-37.861,145.2815,Aerobics
KNOXCI8549,Knox City Council,Boronia Busybodies Health & Fitness Centre,-37.861278,145.284043,Aerobics
KNOXCI8557,Knox City Council,Curves Ferntree Gully,-37.879,145.265,Aerobics
KNOXCI8564,Knox City Council,Fernwood Women's Health Club,-37.882865,145.272334,Aerobics
KNOXCI8566,Knox City Council,Fitness First Health Clubs,-37.869,145.243,Aerobics
KNOXCI8568,Knox City Council,Future Health & Fitness,-37.91,145.2445,Aerobics
KNOXCI8569,Knox City Council,Genesis Wantirna,-37.868207,145.260975,Aerobics
KNOXCI8574,Knox City Council,Goodlife Health Clubs,-37.854284,145.217179,Aerobics
KNOXCI8578,Knox City Council,Jetts Fitness Boronia,-37.861223,145.285471,Aerobics
KNOXCI8586,Knox City Council,Knox Leisureworks YMCA,-37.85695,145.278334,Aerobics
KNOXCI8604,Knox City Council,Platinum Health & Fitness Centre,-37.920156,145.218242,Aerobics
KNOXCI8624,Knox City Council,Winning Physique Gym,-37.881857,145.2965,Aerobics
KNOXCI8625,Knox City Council,Wow Health & Fitness,-37.8705,145.2495,Aerobics
MANNIN11009,Manningham City Council,Heimat Centre,,,Aerobics
MAROON11005,Maroondah City Council,Contours Croydon,-37.793582,145.277689,Aerobics
MAROON11007,Maroondah City Council,Croydon Leisure & Aquatic Centre,-37.801099,145.280821,Aerobics
MAROON11010,Maroondah City Council,Curves Croydon,-37.79526,145.281664,Aerobics
MAROON11011,Maroondah City Council,Curves Ringwood,-37.816443,145.222028,Aerobics
MAROON11016,Maroondah City Council,Genesis Fitness Club Ringwood,-37.815835,145.224604,Aerobics
MAROON11026,Maroondah City Council,Jetts Fitness Ringwood,-37.817472,145.223661,Aerobics
MAROON11035,Maroondah City Council,Personal Fitness Centre Bayswater,-37.835821,145.271935,Aerobics
MAROON11006,Maroondah City Council,Tone and Trim Zone,-37.81315,145.247972,Aerobics
MITCHE11172,Mitchell Shire Council,Contours Wallan,-37.416,144.9775,Aerobics
MITCHE11173,Mitchell Shire Council,Curves Seymour,-37.019308,145.135505,Aerobics
MITCHE11181,Mitchell Shire Council,Kilmore Leisure Centre,-37.298362,144.95346,Aerobics
MITCHE11190,Mitchell Shire Council,Seymour Sports and Aquatic Centre,-37.028321,145.1484,Aerobics
MITCHE11199,Mitchell Shire Council,Totally Fit,-37.4105,144.979,Aerobics
MOONEE9348,Moonee Valley City Council,Anytime Fitness Moonee Ponds,-37.765377,144.923491,Aerobics
MOONEE9349,Moonee Valley City Council,Ascot Vale Leisure Centre,-37.779307,144.912165,Aerobics
MOONEE9351,Moonee Valley City Council,BTB Martials Arts & Fitness Centre,-37.732911,144.8675,Aerobics
MOONEE9357,Moonee Valley City Council,Contours Express Niddrie,-37.73692,144.89281,Aerobics
MOONEE9358,Moonee Valley City Council,Contours Keilor East,-37.74818,144.861839,Aerobics
MOONEE9359,Moonee Valley City Council,Contours Moonee Ponds,-37.767,144.9235,Aerobics
MOONEE9361,Moonee Valley City Council,Curves Keilor East,-37.733,144.8675,Aerobics
MOONEE9366,Moonee Valley City Council,East Keilor Leisure Centre,-37.738815,144.870789,Aerobics
MOONEE9374,Moonee Valley City Council,Fernwood Moonee Ponds,-37.7765,144.9285,Aerobics
MOONEE9375,Moonee Valley City Council,Fighting Lyons Taekwondo Health & Fitness Centre,-37.742996,144.906,Aerobics
MOONEE9376,Moonee Valley City Council,Fitness First Essendon,-37.7455,144.926,Aerobics
MOONEE9378,Moonee Valley City Council,Full Fitness Personal Training,-37.766,144.922,Aerobics
MOONEE9392,Moonee Valley City Council,Paramount Health & Fitness Centre,-37.775665,144.91557,Aerobics
MOONEE9396,Moonee Valley City Council,Re-Creation Health Club Essendon,-37.755754,144.902,Aerobics
MOONEE9399,Moonee Valley City Council,Spark Fitness,-37.77,144.904,Aerobics
MOONEE9403,Moonee Valley City Council,Windy Hill Fitness Centre,-37.752527,144.918666,Aerobics
MORELA12995,Moreland City Council,Bell St Fitness,-37.741134,144.966066,Aerobics
MORELA13000,Moreland City Council,Brunswick City Baths,-37.770641,144.959528,Aerobics
MORELA13007,Moreland City Council,Coburg Leisure Centre,-37.743209,144.967919,Aerobics
MORELA13016,Moreland City Council,Doherty's 24 Hour Gym Brunswick,-37.775066,144.964625,Aerobics
MORELA13019,Moreland City Council,Fawkner Leisure Centre,-37.703706,144.96866,Aerobics
MORELA13020,Moreland City Council,Fenix Fitness Clubs Coburg,-37.733358,144.959937,Aerobics
MORELA13022,Moreland City Council,Fitzys Gym,-37.764936,144.945367,Aerobics
MURRIN11018,Murrindindi Shire Council,Pheasant Creek Fitness Centre ,-37.480111,145.2785,Aerobics
GREATE12090,Shepparton City Council,All About You Health Lifestlye & Fitness,-36.381117,145.403295,Aerobics
GREATE12091,Shepparton City Council,Aquamoves Lakeside Shepparton,-36.386626,145.39527,Aerobics
GREATE12097,Shepparton City Council,Contours Shepparton,-36.380726,145.397949,Aerobics
GREATE12100,Shepparton City Council,Curves Shepparton,-36.379884,145.398348,Aerobics
GREATE12106,Shepparton City Council,Fernwood Shepparton,-36.382825,145.408948,Aerobics
GREATE12108,Shepparton City Council,GV Functional Fitness,-36.393783,145.359989,Aerobics
GREATE12121,Shepparton City Council,Looking Good Mooroopna,-36.394237,145.358226,Aerobics
GREATE12134,Shepparton City Council,Mud's Gym,-36.415813,145.400183,Aerobics
GREATE12140,Shepparton City Council,Northside Health & Fitness,-36.348538,145.401354,Aerobics
GREATE12153,Shepparton City Council,Tatura Gym & Fitness Centre,-36.447275,145.233427,Aerobics
GREATE12159,Shepparton City Council,Total Body Health Fitness & Wellbeing,-36.415198,145.39133,Aerobics
WELLIN10986,Wellington Shire Council,Aqua Energy,-38.112,147.08,Aerobics
WHITTL9517,Whittlesea City Council,Beryl's Slim 'N' Trim Body Toning,-37.701423,145.071079,Aerobics
WHITTL9565,Whittlesea City Council,Curves Whittlesea,-37.517996,145.114005,Aerobics
WHITTL9518,Whittlesea City Council,Diamond Valley Fitness Centre,-37.701423,145.071079,Aerobics
WHITTL9531,Whittlesea City Council,Epping Squash and Fitness Centre,-37.649827,145.023759,Aerobics
WHITTL9528,Whittlesea City Council,Fernwood Women's Health Clubs Epping,-37.659362,145.019288,Aerobics
WHITTL9529,Whittlesea City Council,Fitness First Epping,-37.652438,145.023665,Aerobics
WHITTL9561,Whittlesea City Council,Five Star Fitness Centre 24/7 Gym,-37.687975,145.013334,Aerobics
WHITTL9546,Whittlesea City Council,Mill Park Leisure Centre,-37.658039,145.055256,Aerobics
WHITTL9555,Whittlesea City Council,Thomastown Recreation & Aquatic Centre,-37.677647,145.006076,Aerobics
WHITTL9566,Whittlesea City Council,Whittlesea Fitness Centre,-37.51197,145.11723,Aerobics
WYNDHA8491,Wyndham City Council,Aeromax Fitness Health Club,-37.875501,144.680496,Aerobics
WYNDHA8496,Wyndham City Council,Contours Tarneit,-37.849675,144.70575,Aerobics
WYNDHA8497,Wyndham City Council,Curves For Women,-37.894273,144.673475,Aerobics
WYNDHA8499,Wyndham City Council,EFM Health Clubs Tarneit,-37.847983,144.702,Aerobics
WYNDHA8500,Wyndham City Council,Fenix Fitness Club Hoppers Crossing,-37.869127,144.691056,Aerobics
WYNDHA8501,Wyndham City Council,Fenix Fitness Club Point Cook,-37.884,144.735125,Aerobics
WYNDHA8509,Wyndham City Council,In-Balance Fitness Werribee,-37.898392,144.661842,Aerobics
WYNDHA8513,Wyndham City Council,Manor Lake Fitness,-37.876367,144.61474,Aerobics
WYNDHA8515,Wyndham City Council,My Gym Hoppers Crossing,-37.871074,144.72919,Aerobics
WYNDHA8517,Wyndham City Council,Platinum Health Club Hoppers Crossing,-37.872529,144.717075,Aerobics
WYNDHA8520,Wyndham City Council,Re-Creation Health Club Point Cook,-37.871958,144.7465,Aerobics
WYNDHA8533,Wyndham City Council,Wyndham Leisure & Events Centre,-37.882173,144.683355,Aerobics
CASEYC12249,Casey City Council,Casey Indoor Leisure Centre,-38.112772,145.294045,AFL (Indoor)
BOROON11040,Boroondara City Council,Hays Paddock,-37.789057,145.058406,Archery
BULOKEBULOKE8754,Buloke Shire Council,Donald Recreation Reserve,-36.363956,142.987001,Archery
CENTRA12548,Central Goldfields Shire Council,Deledeo Recreation Reserve,-36.853322,143.732102,Archery
FRANKS11039,Frankston City Council,Baxter Park,-38.19338,145.142572,Archery
GREATE10986,Geelong City Council,Abe Wood Reserve,-38.056123,144.313125,Archery
GLENEL11593,Glenelg Shire Council,HEYWOOD SPORTS PARK,-38.131655,141.666282,Archery
KINGST10953,Kingston City Council,Highett Reserve,-37.951004,145.055651,Archery
LATROB11445,LaTrobe City Council,Toners Lane Reserve,-38.23046,146.388199,Archery
MANNIN10989,Manningham City Council,Bulleen Park ,-37.773844,145.074054,Archery
MARIBY8478,Maribyrnong City Council,Pennell Reserve,-37.776336,144.85114,Archery
MOUNTA12668,Mount Alexander Shire Council,Chewton Bowmen Inc,-37.086521,144.27745,Archery
NILLUM11038,Nillumbik Shire Council,Diamond Valley Archers,-37.626726,145.132744,Archery
SOUTHG12415,South Gippsland Shire Council ,Meeniyan Recreation reserve,-38.575706,146.010378,Archery
WARRNA11708,Warrnambool City Council,South West Target Shooting Complex,-38.433372,142.587508,Archery
WHITEH11037,Whitehorse City Council,RHL Sparks Reserve,-37.828053,145.13546,Archery
WYNDHA8511,Wyndham City Council,Laurie Emmins Reserve,-37.852136,144.764933,Archery
YARRAR11487,Yarra Ranges Shire Council,Sherbrooke Archers,-37.905279,145.307647,Archery
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,-36.739256,147.172162,Athletics
ARARAT12872,Ararat Rural City Council,Gordon Street Recreation Reserve,-37.290964,142.944466,Athletics
BALLAR12479,Ballarat City Council,Brown Hill Recreation Reserve,-37.552298,143.896409,Athletics
BALLAR12486,Ballarat City Council,C E Brown Recreation Reserve,-37.536707,143.842577,Athletics
BALLAR12507,Ballarat City Council,Llanberris Reserve,-37.569035,143.866226,Athletics
BALLAR12533,Ballarat City Council,University of Ballarat Oval,-37.625006,143.887907,Athletics
BANYUL12842,Banyule City Council,Olympic Park,-37.738083,145.035075,Athletics
BANYUL12855,Banyule City Council,Willinda Park,-37.710847,145.110006,Athletics
BAWBAW12121,Baw Baw Shire Council,Geoff Watt Track,-38.164437,145.926676,Athletics
BAYSID12345,Bayside City Council,Dendy Park,-37.925092,145.02322,Athletics
BAYSID5411,Bayside City Council,Glamis Avenue Reserve,-37.9393,145.018,Athletics
BAYSID12351,Bayside City Council,Glamis Avenue Reserve,-37.939513,145.017855,Athletics
BAYSID12372,Bayside City Council,Wilson Reserve,-37.909522,144.993288,Athletics
BENALL11079,Benalla Rural City Council,Churchill Reserve,-36.559341,145.968719,Athletics
GREATE8688,Bendigo City Council,Latrobe Univeristy Bendigo Athletics Track,-36.784277,144.290363,Athletics
BOROON11063,Boroondara City Council,Stradbroke Park,-37.799252,145.061077,Athletics
BRIMBA8361,Brimbank City Council,JR Parsons Reserve,-37.79601,144.836154,Athletics
BRIMBA5637,Brimbank City Council,Keilor Park Recreation Reserve,-37.715205,144.848751,Athletics
BRIMBA8369,Brimbank City Council,Keilor Park Recreational Reserve,-37.714786,144.855205,Athletics
BRIMBA8381,Brimbank City Council,Moore Park,-37.773301,144.795845,Athletics
BRIMBA8391,Brimbank City Council,Sassella Park,-37.764036,144.774164,Athletics
CAMPAS8797,Campaspe Shire Council,Kyabram Recreation Reserve ,-36.311968,145.042201,Athletics
CARDIN11028,Cardinia Shire Council,Mountain Rd Recreation Reserve,-37.926679,145.50362,Athletics
CARDIN11041,Cardinia Shire Council,Toomuc Recreation Reserve,-38.066093,145.460108,Athletics
CASEYC12260,Casey City Council,Casey Fields,-38.121979,145.312021,Athletics
CASEYC12244,Casey City Council,Edwin Flack Recreation Reserve,-38.029054,145.3632,Athletics
CASEYC12259,Casey City Council,Lawson Poole Recreation Reserve  ,-38.083526,145.274553,Athletics
CENTRA12557,Central Goldfields Shire Council,Jack Pascoe Reserve,-37.055592,143.745472,Athletics
CENTRA12567,Central Goldfields Shire Council,Princes Park Precinct,-37.043009,143.74114,Athletics
GREATE11619,Dandenong City Council,Clow St Recreation Reserve,-37.984995,145.229068,Athletics
GREATE11657,Dandenong City Council,Ross Reserve,-37.961328,145.171495,Athletics
DAREBI11812,Darebin City Council,Edwardes Lake Park,-37.714426,144.993643,Athletics
EASTGI11006,East Gippsland Shire Council,Howitt Park,-37.824827,147.644696,Athletics
FRANKS10995,Frankston City Council,Ballam Park,-38.15,145.159892,Athletics
FRANKS10986,Frankston City Council,Banyan Reserve,-38.093897,145.183333,Athletics
FRANKS11052,Frankston City Council,Riviera Reserve,-38.08706,145.132041,Athletics
FRANKS11016,Frankston City Council,Victoria Park,-38.150916,145.12153,Athletics
GANNAW8834,Gannawarra Shire Council,Cohuna Recreation Reserve,-35.804805,144.224685,Athletics
GREATE10996,Geelong City Council,Barwon Heads Village Park,-38.273168,144.493427,Athletics
GREATE11066,Geelong City Council,Goldsworthy reserve Athletics facility,-38.078959,144.353257,Athletics
GREATE11081,Geelong City Council,John Landy Athletics field,-38.16615,144.35901,Athletics
GLENEI11258,Glen Eira City Council,Duncan Mackinnon Reserve,-37.905306,145.063924,Athletics
GLENEL11576,Glenelg Shire Council,Island Park,-37.581471,141.404252,Athletics
GLENEL11580,Glenelg Shire Council,Nelson Park,-38.366194,141.600653,Athletics
GOLDEN8294,Golden Plains Shire Council,Haddon Recreation Reserve ,-37.587701,143.721687,Athletics
HOBSON12958,Hobsons Bay City Council,G.K Nevitt Athletics Facility,-37.859713,144.82616,Athletics
HOBSON12975,Hobsons Bay City Council,Newport Park Reserve,-37.845292,144.895175,Athletics
HORSHA11355,Horsham Rural City Council,Dudley Cornell Park,-36.703285,142.203052,Athletics
HUMECI11730,Hume City Council,Boardman Reserve ,-37.581566,144.695709,Athletics
HUMECI11770,Hume City Council,Laura Douglas Reserve ,-37.66884,144.940463,Athletics
KINGST10939,Kingston City Council,Dolomore Reserve,-37.983995,145.073156,Athletics
KINGST10943,Kingston City Council,Edithvale Recreation Reserve,-38.036144,145.11918,Athletics
KINGST10950,Kingston City Council,GR Bricker Reserve,-37.941111,145.051437,Athletics
KNOXCI8579,Knox City Council,Kings Park Reserve,-37.895894,145.300602,Athletics
KNOXCI8588,Knox City Council,Knox Park Sporting Complex,-37.897447,145.258312,Athletics
LATROB11411,LaTrobe City Council,Harold Preston Reserve,-38.189491,146.539912,Athletics
LATROB11414,LaTrobe City Council,Joe Carmody Athletics Track,-38.177418,146.295897,Athletics
LATROB11420,LaTrobe City Council,Latrobe Leisure Moe/Newborough,-38.177475,146.293345,Athletics
MACEDO10919,Macedon Ranges Shire Council,Dixon Field,-37.48373,144.582635,Athletics
MACEDO10932,Macedon Ranges Shire Council,Kyneton Showgrounds Recreation Reserve,-37.243651,144.455822,Athletics
MACEDO10954,Macedon Ranges Shire Council,Woodend Racecourse Reserve,-37.352449,144.520671,Athletics
MANNIN11021,Manningham City Council,Rieschiecks Reserve ,-37.779388,145.147015,Athletics
MANSFI11077,Mansfield Shire Council,Lords Reserve,-37.056685,146.083485,Athletics
MAROON11037,Maroondah City Council,Proclamation Park,-37.82845,145.222627,Athletics
MAROON11048,Maroondah City Council,Town Park,-37.80184,145.283005,Athletics
MELTON5641,Melton Shire Council,Bridge Road Sports Precinct,-37.716,144.586,Athletics
MELTON9073,Melton Shire Council,Melton South Recreation Reserve,-37.708261,144.576442,Athletics
MILDUR9128,Mildura Rural City Council,Old Aerodrome Sporting Complex,-34.172888,142.133003,Athletics
MITCHE11178,Mitchell Shire Council,JJ Clancy Reserve,-37.28759,144.958648,Athletics
MONASH11998,Monash City Council ,Central Reserve,-37.892337,145.161018,Athletics
MONASH12005,Monash City Council ,Davies Reserve,-37.92001,145.103307,Athletics
MOONEE9344,Moonee Valley City Council,Aberfeldie Athletic Track,-37.762596,144.901511,Athletics
MOORAB9405,Moorabool Shire Council,Mason's Lane Reserve ,-37.669583,144.443943,Athletics
MORELA13003,Moreland City Council,Charles Mutton Reserve,-37.713867,144.970201,Athletics
MORELA13034,Moreland City Council,Jackson Reserve,-37.732303,144.976679,Athletics
MORNIN11201,Mornington Peninsula Shire Council,Truemans Road Reserve,-38.377898,144.861303,Athletics
MORNIN11141,Mornington Peninsula Shire Council,Westernport Athletics Track ,-38.309914,145.177054,Athletics
MOUNTA12656,Mount Alexander Shire Council,Wesley Hill Reserve,-37.072709,144.230305,Athletics
MURRIN11001,Murrindindi Shire Council,Leckie Park,-37.187871,145.712598,Athletics
NORTHE12637,Northern Grampians Shire Council,North Park,-37.050796,142.776003,Athletics
PORTPH12157,Port Phillip City Council ,Lakeside Stadium,-37.840445,144.964961,Athletics
GREATE12111,Shepparton City Council,John McEwen Reserve (Shepparton Sports Precinct),-36.354723,145.395638,Athletics
SOUTHE11413,Southern Grampians Shire Council ,Mitchell Park,-37.754774,142.031503,Athletics
STONNI11943,Stonnington City Council,McAlpine Reserve,-37.840287,145.037516,Athletics
SWANHI9473,Swan Hill Rural City Council,Ken Harrison Reserve,-35.350772,143.539884,Athletics
WANGAR11526,Wangaratta Rural City Council,Appin Park,-36.352569,146.297494,Athletics
WARRNA11706,Warrnambool City Council,Brauerander Park,-38.356616,142.459168,Athletics
WARRNA11697,Warrnambool City Council ,Jetty Flat Reserve,-38.391415,142.474263,Athletics
WELLIN11010,Wellington Shire Council,Lions Park,-38.094404,147.080295,Athletics
WHITEH10993,Whitehorse City Council,Bill Sewart Athletics Track,-37.856033,145.161107,Athletics
WHITEH11015,Whitehorse City Council,Hagenauer Reserve,-37.809398,145.117303,Athletics
WHITTL9527,Whittlesea City Council,Meadowglen reserve & International Athletics Stadium,-37.646185,145.058027,Athletics
WODONG11095,Wodonga City Council,Wodonga Athletics Complex,-36.137584,146.892353,Athletics
WYNDHA8526,Wyndham City Council,VU Wyndham Sporting Complex,-37.892629,144.702157,Athletics
YARRAC11007,Yarra City Council,Citizen’s Park Oval and Jack Dyer Pavilion,-37.817218,145.000351,Athletics
YARRAC10978,Yarra City Council,George Knott Athletics Track and Ray Coverdale Pavilion,-37.784205,145.002319,Athletics
YARRAR11476,Yarra Ranges Shire Council,Morrison Reserve,-37.773451,145.386235,Athletics
FRANKS11294,Frankston City Council,Saxon Sports Frankston,-38.133,145.128,Australian Rules Football
HOBSON12988,Hobsons Bay City Council,Westside Indoor Sports,-37.833056,144.825247,Australian Rules Football
BALLAR12519,Ballarat City Council,Prince of Wales Park,-37.549886,143.817174,Australian Rules Football
MITCHE3674,,Vermont South Club,-37.851683,145.180228,Australian Rules Football
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,-36.475264,147.020525,Australian Rules Football
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,-36.739256,147.172162,Australian Rules Football
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,-36.737199,146.973353,Australian Rules Football
ALPINE10932,Alpine Shire Council ,RC McNamara Reserve,-36.567524,146.723777,Australian Rules Football
ARARAT12868,Ararat Rural City Council,Alexandra Oval Reserve,-37.279414,142.927461,Australian Rules Football
ARARAT12872,Ararat Rural City Council,Gordon Street Recreation Reserve,-37.290964,142.944466,Australian Rules Football
ARARAT12882,Ararat Rural City Council,Lake Bolac Recreation Reserve,-37.718696,142.842711,Australian Rules Football
ARARAT12884,Ararat Rural City Council,Maroona Recreation Reserve,-37.439012,142.860913,Australian Rules Football
ARARAT12885,Ararat Rural City Council,Mininera Recreation Reserve,-37.602218,142.963743,Australian Rules Football
ARARAT12886,Ararat Rural City Council,Moyston Recreation Reserve,-37.299648,142.765968,Australian Rules Football
ARARAT12889,Ararat Rural City Council,Tatyoon Recreation Reserve,-37.52441,142.943444,Australian Rules Football
ARARAT12894,Ararat Rural City Council,Willaura Recreation Reserve,-37.545101,142.744682,Australian Rules Football
BALLAR12460,Ballarat City Council,Alfredton Recreation Reserve,-37.555141,143.799882,Australian Rules Football
BALLAR12467,Ballarat City Council,Ballarat Grammar Oval 2,-37.534015,143.831061,Australian Rules Football
BALLAR12472,Ballarat City Council,Ballarat Secondary College - East Campus,-37.559416,143.894588,Australian Rules Football
BALLAR12473,Ballarat City Council,Ballarat Secondary College - Wendouree Campus,-37.519558,143.832447,Australian Rules Football
BALLAR12484,Ballarat City Council,Buninyong Recreation Reserve,-37.648825,143.89068,Australian Rules Football
BALLAR12486,Ballarat City Council,C E Brown Recreation Reserve,-37.536707,143.842577,Australian Rules Football
BALLAR12489,Ballarat City Council,City Oval,-37.558181,143.837205,Australian Rules Football
BALLAR12495,Ballarat City Council,Doug Dean Recreation Reserve ,-37.584168,143.816064,Australian Rules Football
BALLAR12497,Ballarat City Council,Eastern Oval,-37.557818,143.863653,Australian Rules Football
BALLAR12499,Ballarat City Council,Eureka Stadium,-37.539132,143.847834,Australian Rules Football
BALLAR12505,Ballarat City Council,Learmonth Recreation Reserve,-37.421732,143.711951,Australian Rules Football
BALLAR12509,Ballarat City Council,Marty Busch Recreation Reserve,-37.604027,143.843462,Australian Rules Football
BALLAR12512,Ballarat City Council,Mount Clear Recreation Reserve,-37.606279,143.874694,Australian Rules Football
BALLAR12514,Ballarat City Council,Mount Pleasant Reserve,-37.578352,143.850479,Australian Rules Football
BALLAR12520,Ballarat City Council,Russell Square,-37.555753,143.883908,Australian Rules Football
BALLAR12541,Ballarat City Council,Western Oval,-37.565202,143.839485,Australian Rules Football
BALLAR12542,Ballarat City Council,White Flat,-37.56872,143.856478,Australian Rules Football
BANYUL12794,Banyule City Council,AK Lines Reserve,-37.704194,145.087592,Australian Rules Football
BANYUL12795,Banyule City Council,Anthony Beale Reserve,-37.691447,145.126294,Australian Rules Football
BANYUL12800,Banyule City Council,Binnak Park,-37.697332,145.080915,Australian Rules Football
BANYUL12805,Banyule City Council,Chelsworth Park,-37.77672,145.049173,Australian Rules Football
BANYUL12813,Banyule City Council,De Winton Park,-37.746418,145.067919,Australian Rules Football
BANYUL12814,Banyule City Council,Dunvegan Reserve,-37.722727,145.070588,Australian Rules Football
BANYUL12815,Banyule City Council,Elder Street Reserve,-37.71493,145.090947,Australian Rules Football
BANYUL12818,Banyule City Council,Ford Park,-37.754252,145.037293,Australian Rules Football
BANYUL12822,Banyule City Council,Greensborough Park,-37.700383,145.106353,Australian Rules Football
BANYUL12824,Banyule City Council,Greensborough War Memorial Reserve,-37.706035,145.098228,Australian Rules Football
BANYUL12825,Banyule City Council,Heidelberg Cricket Ground,-37.753959,145.072988,Australian Rules Football
BANYUL12827,Banyule City Council,Heidelberg Park,-37.755878,145.075764,Australian Rules Football
BANYUL12829,Banyule City Council,Ivanhoe Park,-37.772888,145.051829,Australian Rules Football
BANYUL12836,Banyule City Council,Macleod Park,-37.72902,145.06907,Australian Rules Football
BANYUL12839,Banyule City Council,Montmorency Park North,-37.715283,145.113397,Australian Rules Football
BANYUL12860,Banyule City Council,Montmorency Park South,-37.717495,145.113018,Australian Rules Football
BANYUL12840,Banyule City Council,N J Telfer Reserve,-37.704732,145.065326,Australian Rules Football
BANYUL12842,Banyule City Council,Olympic Park,-37.738083,145.035075,Australian Rules Football
BANYUL12844,Banyule City Council,Petrie Park,-37.717216,145.125934,Australian Rules Football
BANYUL12847,Banyule City Council,Seddon Reserve,-37.765457,145.032107,Australian Rules Football
BANYUL12848,Banyule City Council,Shelley Park,-37.740974,145.049584,Australian Rules Football
