gp_code,gp_name,Address,Phone,location
mgp0084,National Pharmacy Middle Brighton,2 Church Street  Brighton VIC 3186,03 9592 5097,"{""lat"":-37.9148114, ""lng"":144.9953945}"
mgp0085,Priceline Pharmacy - Greensborough Plaza,Greensborough Plaza  Shop 383  25 Main Street  Greensborough VIC 3088,03 9432 4988,"{""lat"":-37.701592, ""lng"":145.1069013}"
mgp0086,Hume City Council Immunisation Services - Greenvale,Greenvale Recreation Centre  27 Barrymore Road  Greenvale VIC 3059,03 9205 2523,"{""lat"":-37.6521095, ""lng"":144.8887392}"
mgp0087,BANYULE CITY COUNCIL,WaterMarc Building  1 Flintoff Street  Greensborough VIC 3088,03 9490 4222,"{""lat"":-37.7041979, ""lng"":145.10479019617492}"
mgp0088,Quality Pharmacy - Brighton,33 Church Street  Brighton VIC 3186,03 9592 1500,"{""lat"":-37.9148114, ""lng"":144.9953945}"
mgp0089,Box Hill South Pharmacy,878 Canterbury Road  Box Hill South VIC 3128,03 9890 3064,"{""lat"":-37.8287021, ""lng"":145.1214519}"
mgp0090,MANNINGHAM CITY COUNCIL,699 Doncaster Road  Doncaster VIC 3108,03 9840 9256,"{""lat"":-37.78651205, ""lng"":145.1326431801163}"
mgp0091,Advocate Medical Centre,6 Landale Street  Box Hill VIC 3128,03 9898 0616,"{""lat"":-37.8283855, ""lng"":145.1264433}"
mgp0092,City of Whitehorse - Box Hill Service Centre,1022 Whitehorse Road  Box Hill VIC 3128,03 9262 6333,"{""lat"":-37.818174, ""lng"":145.1226802}"
mgp0093,Greenvale Recreation Centre,27 Barrymore Road  Greenvale VIC 3059,03 9333 1066,"{""lat"":-37.6521095, ""lng"":144.8887392}"
mgp0094,Discount Pharmacy Australia Kerrimuir,537 Middleborough Road  Box Hill North VIC 3129,03 9890 2352,"{""lat"":-37.7986034, ""lng"":145.1420742}"
mgp0095,Terry White Chemmart - Brimbank,Brimbank Central Shopping Centre  Shop T51  28-72 Neale Road  Deer Park VIC 3023,03 9363 6065,"{""lat"":-37.7513742, ""lng"":144.7661624}"
mgp0096,Chemist Warehouse Derrimut,Derrimut Village Shopping Centre  Shop 12-13  20 Mt Derrimut Road  Derrimut VIC 3030,03 8390 6900,"{""lat"":-37.7831794, ""lng"":144.7723214}"
mgp0097,Jackson Court Pharmacy,64 Jackson Court  Doncaster East VIC 3109,03 9848 1400,"{""lat"":-37.788223, ""lng"":145.1493736}"
mgp0098,Allegiance Medical,376 Centre Road  Bentleigh VIC 3204,03 8525 1480,"{""lat"":-37.9184189, ""lng"":145.0384968}"
mgp0099,Chemist Warehouse - Bentleigh,421 Centre Road  Bentleigh VIC 3204,03 9557 0396,"{""lat"":-37.9184189, ""lng"":145.0384968}"
mgp0100,Priceline Pharmacy Bentleigh,427-429 Centre Road  Bentleigh VIC 3204,03 9557 1232,"{""lat"":-37.9184189, ""lng"":145.0384968}"
mgp0101,Quality Pharmacy - Burwood East,26 Burwood Highway  Burwood East VIC 3151,03 9808 9962,"{""lat"":-37.8527314, ""lng"":145.1517702}"
mgp0102,Whittlesea City Council,25 Ferres Boulevard  South Morang VIC 3752,03 9217 2276,"{""lat"":-37.6452683, ""lng"":145.06720371017627}"
mgp0103,Oakleigh Central Amcal Pharmacy,Oakleigh Central Shopping Centre  Shop 1  39 Hanover Street  Oakleigh VIC 3166,03 9563 2044,"{""lat"":-37.9006872, ""lng"":145.0903411}"
mgp0104,Amcal Max - Doncaster East,274-276 Blackburn Road  Doncaster East VIC 3109,03 9842 4426,"{""lat"":-37.7789252, ""lng"":145.1637259}"
mgp0105,Blackburn Clinic,195 Whitehorse Road  Blackburn VIC 3130,03 9875 1111,"{""lat"":-37.8171833, ""lng"":145.1517589}"
mgp0106,Blackburn Central Pharmacy,195 Whitehorse Road  Blackburn VIC 3130,03 9877 3028,"{""lat"":-37.8171833, ""lng"":145.1517589}"
mgp0107,Chemist Warehouse - Watergardens,Watergardens Shopping Centre  Shop A005  399 Melton Highway  Taylors Lakes VIC 3038,03 8361 6322,"{""lat"":-37.70072865, ""lng"":144.77700320439482}"
mgp0108,Thompsons Pharmacy - Eltham,962-964 Main Road  Eltham North VIC 3095,03 9439 9249,"{""lat"":-37.7048859, ""lng"":145.1531143}"
mgp0109,Phoebe Thomas Naturopath,962-964 Main Road  Eltham VIC 3095,03 9439 9249,"{""lat"":-37.7048859, ""lng"":145.1531143}"
mgp0110,Priceline Pharmacy Eltham,Shop 4  6-20 Luck Street  Eltham VIC 3095,03 9439 7568,"{""lat"":-37.7129309, ""lng"":145.1534375}"
mgp0111,Chemist Warehouse - Mount Waverley,33 Hamilton Place  Mount Waverley VIC 3149,03 9807 1663,"{""lat"":-37.8759981, ""lng"":145.1282262}"
mgp0112,TerryWhite Chemmart Watergardens,Watergardens Shopping Centre  Shop 22-24  399 Melton Highway  Taylors Lakes VIC 3038,03 9449 2999,"{""lat"":-37.70072865, ""lng"":144.77700320439482}"
mgp0113,Priceline Pharmacy - Watergardens,Shop 44  399 Melton Highway  Taylors Lakes VIC 3038,03 9449 0063,"{""lat"":-37.70072865, ""lng"":144.77700320439482}"
mgp0114,Quality Pharmacy - Burwood One,Burwood One Shopping Centre  Shop 20  172 Burwood Highway  Burwood East VIC 3151,03 9886 6888,"{""lat"":-37.8527314, ""lng"":145.1517702}"
mgp0115,Temple Hills Medical Centre,2 Devlaw Drive  Doncaster East VIC 3109,03 9842 9911,"{""lat"":-37.7662356, ""lng"":145.1725003}"
mgp0116,City of Whitehorse - Forest Hill Service Centre,Forest Hill Chase Sc  Shop 275  270 Canterbury Road  Forest Hill VIC 3131,03 9262 6333,"{""lat"":-37.83594745, ""lng"":145.16467043631184}"
mgp0117,Priceline Pharmacy Forest Hill,Forest Hill Chase Shopping Centre  Shop 127  270 Canterbury Road  Forest Hill VIC 3131,03 9878 3981,"{""lat"":-37.83594745, ""lng"":145.16467043631184}"
mgp0118,Active Medical Centre,228-232 Caroline Springs Boulevard  Caroline Springs VIC 3023,03 9363 0954,"{""lat"":-37.7538709, ""lng"":144.7399683}"
mgp0119,Hume City Council Immunisation Services - Craigieburn,Craigieburn Function Rooms  127 Craigieburn Road  Craigieburn VIC 3064,03 9205 2523,"{""lat"":-37.5968998, ""lng"":144.9225218}"
mgp0120,Super Saver Discount Chemist - Craigieburn,Craigieburn Plaza  Shop 27  32-38 Craigieburn Road  Craigieburn VIC 3064,03 9333 7417,"{""lat"":-37.5968998, ""lng"":144.9225218}"
mgp0121,Ramsay Pharmacy Highett,Shop 11  284-286 Highett Road  Highett VIC 3190,03 9555 2468,"{""lat"":-37.9484291, ""lng"":145.0391851}"
mgp0122,United Chemists - Taylors Hill,Taylors Hill Village  Shop 8  127 Gourlay Road  Taylors Hill VIC 3037,03 8358 2430,"{""lat"":-37.7061149, ""lng"":144.7415057}"
mgp0123,PharmaSave Pharmacy Brentford Square,Brentford Square Shopping  Shop 4  500 Canterbury Road  Forest Hill VIC 3131,03 9878 1288,"{""lat"":-37.8357237, ""lng"":145.1800972}"
mgp0124,Bayside City Council Aged and Disability Services,76 Royal Avenue  Sandringham VIC 3191,03 9599 4444,"{""lat"":-37.9585069, ""lng"":145.01473}"
mgp0125,Priceline Pharmacy - Craigieburn Central,Shop 29  340 Craigieburn Road  Craigieburn VIC 3064,03 9333 7628,"{""lat"":-37.5968998, ""lng"":144.9225218}"
mgp0126,Nurse Connect,AMCAL Craigieburn  340 Craigieburn Road  Craigieburn VIC 3064,03 9308 4981,"{""lat"":-37.5968998, ""lng"":144.9225218}"
mgp0127,Quality Pharmacy - Mitcham,507 Whitehorse Road  Mitcham VIC 3132,03 9873 1138,"{""lat"":-37.81616, ""lng"":145.1931423}"
mgp0128,Priceline Pharmacy Glen Waverley,Centro The Glen  Shop 103  235 Springvale Road  Glen Waverley VIC 3150,03 9803 2003,"{""lat"":-37.8767897, ""lng"":145.1648427}"
mgp0129,TerryWhite Chemists - The Glen,The Glen Shopping Centre  Shop 208  235 Springvale Road  Glen Waverley VIC 3150,03 9802 3755,"{""lat"":-37.8767897, ""lng"":145.1648427}"
mgp0130,Pharmasave Williams Landing,Shop 6  100 Overton Road  Williams Landing VIC 3027,03 8360 5383,"{""lat"":-37.8656159, ""lng"":144.7390777}"
mgp0131,Chemist Warehouse - Glen Waverley,263 Springvale Road  Glen Waverley VIC 3150,03 9802 9977,"{""lat"":-37.8791843, ""lng"":145.1656142}"
mgp0132,Mitcham Road Pharmacy,572 Mitcham Road  Mitcham VIC 3132,03 9873 5836,"{""lat"":-37.8163027, ""lng"":145.1936549}"
mgp0133,Monash Children's Hospital,246 Clayton Road  Clayton VIC 3168,03 8572 3000,"{""lat"":-37.9205943, ""lng"":145.1227485434316}"
mgp0134,Monash City Council - Monash Civic Centre,293 Springvale Road  Glen Waverley VIC 3150,03 9518 3555,"{""lat"":-37.88213305, ""lng"":145.1645142367487}"
mgp0135,Priceline Pharmacy Southland Bayside,Southland Shopping Centre  Shop 1016  1239-1241 Nepean Highway  Cheltenham VIC 3192,03 9584 3202,"{""lat"":-37.9654606, ""lng"":145.0578086}"
mgp0136,TerryWhite Chemmart Southland,Southland Shopping Centre  Shop 2075  1239 Nepean Highway  Cheltenham VIC 3192,03 9584 9666,"{""lat"":-37.9589769, ""lng"":145.053462}"
mgp0137,Chemist Warehouse - Clayton,403-407 Clayton Road  Clayton VIC 3168,03 9544 2444,"{""lat"":-37.9136289, ""lng"":145.1219021}"
mgp0138,Warrandyte Pharmacy,Goldfields Plaza Shopping Centre  Shop 4-5  402 Warrandyte Road  Warrandyte VIC 3113,03 9844 2029,NA
mgp0139,Kerrie Road Pharmacy,24 Kerrie Road  Glen Waverley VIC 3150,03 9802 1377,"{""lat"":-37.8762559, ""lng"":145.1778108}"
mgp0140,Aspire Medical and Skin Centre,Shop 7  1 Sanctuary Road  Hillside VIC 3037,03 8390 9500,"{""lat"":-37.6919694, ""lng"":144.7304725}"
mgp0141,Pharmacy 360 Black Rock,16 Bluff Road  Black Rock VIC 3193,03 9589 3768,"{""lat"":-37.9742292, ""lng"":145.0164204}"
mgp0142,Point Cook Superclinic,Stockland Point Cook Shopping Centre  Shop 101  7 Main Street  Point Cook VIC 3030,03 9395 8077,"{""lat"":-37.8826833, ""lng"":144.7354244}"
mgp0143,Hume City Council Immunisation Services - Craigieburn,Craigieburn Newbury Child & Community Centre  440 Grand Boulevard  Craigieburn VIC 3064,03 9205 2523,"{""lat"":-37.5711185, ""lng"":144.9088607}"
mgp0144,Mernda Village Medical Centre,60 Mernda Village Drive  Mernda VIC 3754,03 9717 0099,"{""lat"":-37.5925799, ""lng"":145.101803}"
mgp0145,Westgate Medical Centre - Hoppers Crossing,381 Sayers Road  Hoppers Crossing VIC 3029,03 9748 5088,"{""lat"":-37.8499178, ""lng"":144.7014938}"
mgp0146,Chemist Warehouse - Werribee Plaza,Pacific Werribee Shopping Centre  Shop 282  Corner of Derrimut & Heaths Road  Hoppers Crossing VIC 3029,03 9749 1754,NA
mgp0147,North Ringwood Family Pharmacy,196-198 Warrandyte Road  Ringwood North VIC 3134,03 9876 2948,"{""lat"":-37.800472, ""lng"":145.2344111}"
mgp0148,National Pharmacies - Wheelers Hill,Wheelers Hill Shopping Centre  Shop 9-11  190 Jells Road  Wheelers Hill VIC 3150,03 9561 5275,"{""lat"":-37.8960064, ""lng"":145.1910972}"
mgp0149,Terry White Chemists Mentone,Shop 6  171-187 Nepean Highway  Mentone VIC 3194,03 9583 6636,"{""lat"":-37.9770953, ""lng"":145.0668693}"
mgp0150,Lim's Pharmacy,10A Balmoral Avenue  Springvale VIC 3171,03 9562 4233,"{""lat"":-37.9496188, ""lng"":145.151234}"
mgp0151,Windsor Avenue Pharmacy,4B-4C Windsor Avenue  Springvale VIC 3171,03 9548 2323,"{""lat"":-37.9514881, ""lng"":145.1485272}"
mgp0152,Priceline Pharmacy - Heathmont,160-162 Canterbury Road  Heathmont VIC 3135,03 9729 4545,"{""lat"":-37.8257943, ""lng"":145.248304}"
mgp0153,Parkdale Pharmacy,270 Como Parade  Parkdale VIC 3195,03 9580 1891,NA
mgp0154,National Pharmacies - Burntbridge,Burntbridge Shopping Centre  Shop 6-8A  434 Maroondah Highway  Croydon VIC 3136,03 9870 5936,"{""lat"":-37.7963765, ""lng"":145.2567253}"
mgp0155,Waverley Police Road Medical Centre,304 Police Road  Noble Park North VIC 3174,03 9795 0468,"{""lat"":-37.9369027, ""lng"":145.1867072}"
mgp0156,Quality Pharmacy - Werribee Medical,Shop MM01  Pacific Werribee Shopping Centre  Cnr Derrimut & Heaths Road  Hoppers Crossing VIC 3029,03 9749 3332,NA
mgp0157,Nova Pharmacy - Waverley Gardens,Waverley Gardens Shopping Centre  Shop 4  Corner Police and Jacksons Road  Mulgrave VIC 3170,03 9546 3637,"{""lat"":-37.9032904, ""lng"":145.16419695919757}"
mgp0158,Priceline Pharmacy Knox,Westfield Knox  Level 1 Shop 1060  425 Burwood Highway  Wantirna South VIC 3152,03 9801 5560,"{""lat"":-37.8710692, ""lng"":145.2436768}"
mgp0159,Pharmacy@Knox,Westfield Knox  Shop 2081  425 Burwood Highway  Wantirna South VIC 3152,03 9800 5199,"{""lat"":-37.8710692, ""lng"":145.2436768}"
mgp0160,Parkdale Family and Childcare Centre,1 Warrun Road  Parkdale VIC 3195,03 8586 0900,NA
mgp0161,Nova Pharmacy - Dingley,97 Centre Dandenong Road  Dingley Village VIC 3172,03 9551 4222,"{""lat"":-37.9722468, ""lng"":145.1117044}"
mgp0162,Harrisfield Pharmacy,Shop 5  497 Princes Highway  Noble Park VIC 3174,03 9548 1616,"{""lat"":-37.9505723, ""lng"":145.1759091}"
mgp0163,Mordialloc Amcal Max Pharmacy,467 Main Street  Mordialloc VIC 3195,03 9580 1019,"{""lat"":-38.0058467, ""lng"":145.0862516}"
mgp0164,Silverton Medical Clinic,135 Jacksons Road  Noble Park North VIC 3174,03 9795 4122,"{""lat"":-37.9563505, ""lng"":145.191426}"
